Mega Point,ID,Lat,Long,ACFL,AMCR,AMGO,AMKE,AMRE,AMRO,BADO,BANS,BAOR,BARS,BBCU,BCCH,BGGN,BEKI,BHCO,BLJA,BRTH,CANG,CARW,CEDW,CHSP,CHSW,CLSW,COGR,COHA,CONI,COYE,DICK,DOWO,EABL,EAKI,EATO,EAPH,EAME,EAWP,EUCD,EUST,FISP,GBHE,GCFL,GRCA,GREG,GRGO,GRHE,HAWO,HOFI,HOWR,HOSP,INBU,KILL,LEYE,LISP,LOWA,MALL,MAWR,MIKI,NAWA,MODO,NOBO,NOCA,NOFL,NOMO,NOPA,NRWS,OCWA,OROR,OVEN,PIWO,PUMA,RBGR,RBWO,REVI,RHWO,ROPI,RSHA,RTHA,RTHU,RWBL,SESA,SOSP,SPSA,SSHA,STFL,SUTA,SWTH,TEWA,TRSW,TUTI,TUVU,UEFL,WAVI,WBNU,WCSP,WEVI,WIFL,WTSP,WOTH,YBCH,YBCU,YEWA,YRWA
1,72," 38°57'21.68""N"," 92°19'35.30""W",0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,4,1,44,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,70," 38°57'10.46""N"," 92°19'12.80""W",0,2,2,0,0,43,0,0,0,0,0,17,0,0,0,3,0,0,7,0,0,165,0,21,1,0,0,0,1,0,0,0,0,0,0,0,116,0,0,0,1,0,0,0,0,12,6,164,0,0,0,0,0,0,0,0,0,11,0,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
8,68," 38°56'26.21""N"," 92°18'28.78""W",0,1,2,0,0,32,0,0,0,0,0,29,0,0,2,0,0,0,2,0,0,1,0,6,0,0,0,0,2,2,0,0,2,0,2,0,42,0,0,0,0,0,0,0,1,8,0,55,0,0,0,0,0,0,0,0,0,4,0,24,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
7,69," 38°56'42.69""N"," 92°18'39.32""W",1,0,2,0,0,35,0,0,0,0,0,22,0,0,2,8,0,0,9,0,0,13,0,4,0,0,0,0,1,0,0,0,3,0,10,0,1,0,0,0,0,0,0,0,3,4,8,8,0,0,0,0,0,0,0,0,0,5,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0
9,65," 38°56'2.35""N"," 92°17'57.61""W",0,0,3,0,0,49,0,0,0,0,0,33,0,0,14,30,1,0,0,0,0,22,0,30,0,0,0,0,1,0,1,0,1,0,0,0,72,0,0,0,0,0,0,0,0,17,11,237,0,0,0,0,0,0,0,0,0,35,0,40,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
10,78," 38°56'14.05""N"," 92°16'22.38""W",0,1,2,0,0,26,0,0,0,2,0,18,0,0,4,5,0,0,1,24,1,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,39,1,0,0,0,0,0,0,0,4,0,3,1,3,0,0,0,0,0,0,0,8,0,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,77," 38°56'21.69""N"," 92°15'32.13""W",0,0,4,0,0,30,0,0,0,0,0,17,0,0,7,9,0,0,2,0,6,11,0,3,0,0,0,0,3,0,0,0,2,0,15,0,6,0,0,4,0,0,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0,7,0,25,2,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,7,0,1,0,7,0,0,0,0,0,0,0,0,0
12,76," 38°55'35.83""N"," 92°15'35.09""W",0,0,11,0,0,14,0,0,0,4,0,4,1,0,11,4,1,0,0,27,11,0,0,5,0,0,0,0,0,1,0,1,1,1,3,0,6,1,0,0,0,0,0,0,0,9,2,20,1,1,0,0,0,0,0,0,0,4,0,13,0,13,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
13,83," 38°56'57.73""N"," 92°15'34.84""W",1,2,8,0,0,29,0,0,0,13,0,9,2,0,15,17,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,5,0,4,0,30,0,0,0,0,0,0,0,0,21,5,158,1,0,0,0,0,0,0,0,0,9,0,23,0,20,6,2,0,0,0,0,0,0,5,0,0,1,0,1,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
14,79," 38°56'46.11""N"," 92°16'41.29""W",0,1,2,0,0,15,0,0,0,9,0,22,1,0,7,10,2,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,2,0,16,0,0,0,0,0,0,0,1,10,9,4,0,0,0,0,0,0,0,0,0,11,0,20,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,67," 38°56'42.86""N"," 92°17'48.49""W",0,3,0,0,0,13,0,0,0,0,0,12,0,0,3,6,0,0,1,0,0,0,0,4,0,0,0,0,2,2,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,10,0,100,0,1,0,0,0,0,0,0,0,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,80," 38°57'16.94""N"," 92°16'57.59""W",0,4,7,0,0,21,0,0,0,0,1,18,3,0,3,3,0,0,4,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,14,0,0,0,0,0,0,0,2,12,7,28,0,0,0,0,0,0,0,0,0,3,0,14,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0
17,73," 38°57'40.14""N"," 92°19'29.74""W",0,0,0,0,0,31,0,0,0,0,0,5,0,0,3,3,0,0,2,0,0,30,0,6,0,1,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,2,6,109,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,81," 38°57'22.71""N"," 92°16'44.03""W",0,3,21,0,0,15,0,0,0,2,0,1,0,0,3,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,0,0,0,0,0,3,7,48,1,0,0,0,0,0,0,0,0,3,0,10,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,82," 38°57'23.53""N"," 92°16'2.36""W",0,3,12,1,0,30,0,0,0,4,0,9,3,0,17,7,1,1,3,0,2,7,0,3,0,0,0,0,1,2,0,0,1,0,11,0,93,0,1,2,0,0,0,0,2,18,1,44,4,0,0,0,0,0,0,0,0,10,0,16,1,1,0,0,0,0,0,0,0,0,11,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0
20,24," 38°57'40.71""N"," 92°20'13.92""W",0,2,0,0,0,41,0,0,0,0,0,13,0,0,0,6,0,0,5,0,0,43,0,58,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,2,6,54,0,0,0,0,0,0,0,0,0,14,0,17,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25," 38°57'41.81""N"," 92°21'4.49""W",0,1,0,0,0,40,0,0,0,0,0,10,0,0,3,12,0,0,1,0,0,25,0,56,0,0,0,0,2,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0,1,9,6,89,0,0,0,0,0,0,0,0,0,22,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26," 38°57'42.64""N"," 92°21'48.68""W",0,0,2,0,0,33,0,0,0,0,0,4,0,0,4,4,0,0,1,0,0,15,0,35,0,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0,0,0,0,0,4,5,62,0,2,0,0,0,0,0,0,0,18,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,34," 38°57'9.98""N"," 92°22'7.21""W",0,0,2,0,0,31,0,0,0,0,0,7,0,0,2,8,0,0,2,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,4,0,84,0,0,0,1,0,0,0,2,15,10,44,0,0,0,0,0,0,0,0,0,16,0,15,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
24,35," 38°57'8.01""N"," 92°21'37.30""W",0,0,1,0,0,38,0,0,0,0,0,9,0,0,1,11,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,0,2,0,0,0,0,1,4,80,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
